0 1 2
0 1 4
0 1 6
0 1 8
0 1 10
0 1 11
0 1 12
0 1 13
0 2 4
0 2 9
0 2 12
0 3 9
0 3 12
0 4 9
0 4 10
0 7 8
0 7 9
0 7 11
0 8 18
0 8 20
0 10 20
